Timestamp,ID,Experimenter,Verb,Age,Adjective,IP,Gender,Handedness,Code,Item,Condition,Rating,FederalState,List
1528189572.9158,1,Anna,seein,27,stage-level,134.2.81.195,female,right,0jd4fni9vc57ij0aegtjkb3imca3521vec9b8vrgm5lo8f21hep0,1,1,6,BB,1
1528190410.3109,1,Anna,verhielt sich,27,individual-level,134.2.81.195,female,right,0jd4fni9vc57ij0aegtjkb3imca3521vec9b8vrgm5lo8f21hep0,2,4,2,BB,1
1528190143.7786,1,Anna,verhielt sich,27,stage-level,134.2.81.195,female,right,0jd4fni9vc57ij0aegtjkb3imca3521vec9b8vrgm5lo8f21hep0,3,3,6,BB,1
1528189550.7434,1,Anna,sein,27,individual-level,134.2.81.195,female,right,0jd4fni9vc57ij0aegtjkb3imca3521vec9b8vrgm5lo8f21hep0,4,2,5,BB,1
1528189532.1123,1,Anna,sein,27,stage-level,134.2.81.195,female,right,0jd4fni9vc57ij0aegtjkb3imca3521vec9b8vrgm5lo8f21hep0,5,1,5,BB,1
1528189819.9791,1,Anna,verhielt sich,27,individual-level,134.2.81.195,female,right,0jd4fni9vc57ij0aegtjkb3imca3521vec9b8vrgm5lo8f21hep0,6,4,2,BB,1
1528189929.2672,1,Anna,verhielt sich,27,stage-level,134.2.81.195,female,right,0jd4fni9vc57ij0aegtjkb3imca3521vec9b8vrgm5lo8f21hep0,7,3,7,BB,1
1528189801.5778,1,Anna,sein,27,individual-level,134.2.81.195,female,right,0jd4fni9vc57ij0aegtjkb3imca3521vec9b8vrgm5lo8f21hep0,8,2,5,BB,1
1528190002.2679,1,Anna,sein,27,stage-level,134.2.81.195,female,right,0jd4fni9vc57ij0aegtjkb3imca3521vec9b8vrgm5lo8f21hep0,9,1,6,BB,1
1528190189.0652,1,Anna,verhielt sich,27,individual-level,134.2.81.195,female,right,0jd4fni9vc57ij0aegtjkb3imca3521vec9b8vrgm5lo8f21hep0,10,4,5,BB,1
1528189885.5236,1,Anna,verhielt sich,27,stage-level,134.2.81.195,female,right,0jd4fni9vc57ij0aegtjkb3imca3521vec9b8vrgm5lo8f21hep0,11,3,5,BB,1
1528190161.4259,1,Anna,sein,27,individual-level,134.2.81.195,female,right,0jd4fni9vc57ij0aegtjkb3imca3521vec9b8vrgm5lo8f21hep0,12,2,6,BB,1
1528189727.0373,1,Anna,sein,27,stage-level,134.2.81.195,female,right,0jd4fni9vc57ij0aegtjkb3imca3521vec9b8vrgm5lo8f21hep0,13,1,7,BB,1
1528190075.058,1,Anna,verhielt sich,27,individual-level,134.2.81.195,female,right,0jd4fni9vc57ij0aegtjkb3imca3521vec9b8vrgm5lo8f21hep0,14,4,4,BB,1
1528189841.6442,1,Anna,verhielt sich,27,stage-level,134.2.81.195,female,right,0jd4fni9vc57ij0aegtjkb3imca3521vec9b8vrgm5lo8f21hep0,15,3,7,BB,1
1528189683.1164,1,Anna,sein,27,individual-level,134.2.81.195,female,right,0jd4fni9vc57ij0aegtjkb3imca3521vec9b8vrgm5lo8f21hep0,16,2,7,BB,1
1528190122.6912,1,Anna,sein,27,stage-level,134.2.81.195,female,right,0jd4fni9vc57ij0aegtjkb3imca3521vec9b8vrgm5lo8f21hep0,17,1,4,BB,1
1528190432.7885,1,Anna,verhielt sich,27,individual-level,134.2.81.195,female,right,0jd4fni9vc57ij0aegtjkb3imca3521vec9b8vrgm5lo8f21hep0,18,4,4,BB,1
1528190356.1669,1,Anna,verhielt sich,27,stage-level,134.2.81.195,female,right,0jd4fni9vc57ij0aegtjkb3imca3521vec9b8vrgm5lo8f21hep0,19,3,6,BB,1
1528189747.9549,1,Anna,sein,27,individual-level,134.2.81.195,female,right,0jd4fni9vc57ij0aegtjkb3imca3521vec9b8vrgm5lo8f21hep0,20,2,4,BB,1
1528190519.5439,1,Anna,sein,27,stage-level,134.2.81.195,female,right,0jd4fni9vc57ij0aegtjkb3imca3521vec9b8vrgm5lo8f21hep0,21,1,2,BB,1
1528190450.2644,1,Anna,verhielt sich,27,individual-level,134.2.81.195,female,right,0jd4fni9vc57ij0aegtjkb3imca3521vec9b8vrgm5lo8f21hep0,22,4,5,BB,1
1528190033.842,1,Anna,verhielt sich,27,stage-level,134.2.81.195,female,right,0jd4fni9vc57ij0aegtjkb3imca3521vec9b8vrgm5lo8f21hep0,23,3,6,BB,1
1528189787.5484,1,Anna,sein,27,individual-level,134.2.81.195,female,right,0jd4fni9vc57ij0aegtjkb3imca3521vec9b8vrgm5lo8f21hep0,24,2,4,BB,1
1528189383.1996,1,Anna,sein,27,stage-level,134.2.81.195,female,right,0jd4fni9vc57ij0aegtjkb3imca3521vec9b8vrgm5lo8f21hep0,25,1,6,BB,1
1528189705.1155,1,Anna,verhielt sich,27,individual-level,134.2.81.195,female,right,0jd4fni9vc57ij0aegtjkb3imca3521vec9b8vrgm5lo8f21hep0,26,4,3,BB,1
1528189510.4919,1,Anna,verhielt sich,27,stage-level,134.2.81.195,female,right,0jd4fni9vc57ij0aegtjkb3imca3521vec9b8vrgm5lo8f21hep0,27,3,6,BB,1
1528190569.5483,1,Anna,sein,27,individual-level,134.2.81.195,female,right,0jd4fni9vc57ij0aegtjkb3imca3521vec9b8vrgm5lo8f21hep0,28,2,6,BB,1
1528190472.6074,1,Anna,sein,27,stage-level,134.2.81.195,female,right,0jd4fni9vc57ij0aegtjkb3imca3521vec9b8vrgm5lo8f21hep0,29,1,4,BB,1
1528190542.048,1,Anna,verhielt sich,27,individual-level,134.2.81.195,female,right,0jd4fni9vc57ij0aegtjkb3imca3521vec9b8vrgm5lo8f21hep0,30,4,2,BB,1
1528189893.5953,1,Anna,none,27,none,134.2.81.195,female,right,0jd4fni9vc57ij0aegtjkb3imca3521vec9b8vrgm5lo8f21hep0,1001,100,7,BB,1
1528190393.9013,1,Anna,none,27,none,134.2.81.195,female,right,0jd4fni9vc57ij0aegtjkb3imca3521vec9b8vrgm5lo8f21hep0,1002,100,7,BB,1
1528189745.0124,1,Anna,none,27,none,134.2.81.195,female,right,0jd4fni9vc57ij0aegtjkb3imca3521vec9b8vrgm5lo8f21hep0,1003,100,3,BB,1
1528190284.6577,1,Anna,none,27,none,134.2.81.195,female,right,0jd4fni9vc57ij0aegtjkb3imca3521vec9b8vrgm5lo8f21hep0,1004,100,6,BB,1
1528189427.1104,1,Anna,none,27,none,134.2.81.195,female,right,0jd4fni9vc57ij0aegtjkb3imca3521vec9b8vrgm5lo8f21hep0,1005,100,5,BB,1
